,url,title,price,rating,description,"Brand,Seller,orCollectionName",Modelnumber,PartNumber,ItemShape,Dialwindowmaterialtype,DisplayType,Clasp,Casematerial,Casediameter,CaseThickness,BandMaterial,Bandsize,Bandwidth,BandColor,Dialcolor,Bezelmaterial,Bezelfunction,Calendar,Specialfeatures,Movement,Waterresistantdepth,Warranty,ModelYear,Itemweight,ProductWarranty,Metalstamp,Waterpressureresistance
0,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTI0NzY0MjMyNTQ4NDQwOjE2OTIwMjk2MTA6c3BfbXRmOjIwMDExMzE2ODg1ODg5ODo6MDo6&url=%2FTissot-Womens-Swiss-Automatic-Stainless%2Fdp%2FB09BCCJ5ML%2Fref%3Dsr_1_341_sspa%3Fkeywords%3Dtissot%26qid%3D1692029610%26sr%3D8-341-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,"Tissot Womens PR 100 Auto Lady Swiss Automatic Watch, Gray, Stainless Steel,16 (T1012071112100)",327.25,4.7,"True to its name, the Tissot PR 100 is certainly Precise and Robust - and hugely popular with stylish women everywhere. These models combine tradition with up-to-the-minute looks using quality materials on the outside and Swiss reliability on the inside.", Tissot , T1012071112100 , T1012071112100 , Round , Synthetic Sapphire , Analog , Toggle Clasp , Stainless Steel , 33 millimeters , 9.79 millimeters , Stainless Steel , Womens Standard , 16 millimeters , Gray , Blue Mother Of Pearl , Stainless Steel , Stationary , Date , Water Resistant , Swiss Automatic , 330 Feet , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,
1,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTI0NzY0MjMyNTQ4NDQwOjE2OTIwMjk2MTA6c3BfYXRmX25leHQ6MjAwMDYyNDI5NTkxMDk4OjowOjo&url=%2FCIGA-Design-Automatic-Mechanical-Wristwatch%2Fdp%2FB0972RNL1F%2Fref%3Dsr_1_338_sspa%3Fkeywords%3Dtissot%26qid%3D1692029610%26sr%3D8-338-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,CIGA Design Watch Gold Automatic Mechanical Stainless Steel Case Skeleton Tonneau Silicone Strap Sapphire Crystal Wristwatch(with One Stainless Steel Strap),199.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTI0NzY0MjMyNTQ4NDQwOjE2OTIwMjk2MTA6c3BfYXRmX25leHQ6MzAwMDIzNjY5NDg5MjAyOjowOjo&url=%2FDROCUAMGOYA-Stainless-Business-Waterproof-Luminous%2Fdp%2FB0BLNJKQJL%2Fref%3Dsr_1_339_sspa%3Fkeywords%3Dtissot%26qid%3D1692029610%26sr%3D8-339-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,DROCUAMGOYA Men Fashion Analog Watch Matte Frosted/Polished Case Japan Quartz Stainless Steel/Leather Strap Star Dust Dial 41mm Casual Business Watch for Men,89.99,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTI0NzY0MjMyNTQ4NDQwOjE2OTIwMjk2MTA6c3BfbXRmOjIwMDExMzEzNzIwMTY5ODo6MDo6&url=%2FTissot-stainless-steel-Specialities-T1184301627100%2Fdp%2FB08T4JNFDF%2Fref%3Dsr_1_344_sspa%3Fkeywords%3Dtissot%26qid%3D1692029610%26sr%3D8-344-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Tissot mens Viso Date 316L stainless steel case Specialities Brown T1184301627100,695.0,4.7,"Inspired by the Tissot Visodate collection from 1954, the Tissot Heritage Visodate translates nostalgia into contemporary timepieces dedicated to detail. A gently-curved dial mirrors the domed sapphire glass, both designed to showcase the clearly visible day and date.", Tissot , T1184301627100 , T1184301627100 , Round , Synthetic Sapphire , Analog , Push Button Deployment Clasp , Stainless Steel , 42 millimeters , 12.13 millimeters , Leather ,, 21 millimeters , Brown , Silver , Stainless Steel , Stationary , Day-Date , Water Resistant , Swiss Automatic , 100 Feet , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,
4,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTI0NzY0MjMyNTQ4NDQwOjE2OTIwMjk2MTA6c3BfbXRmOjIwMDExMzEzNzIwMjM5ODo6MDo6&url=%2FTissot-Classic-Stainless-T1294101101300-T852047916%2Fdp%2FB09XHF83FT%2Fref%3Dsr_1_345_sspa%3Fkeywords%3Dtissot%26qid%3D1692029610%26sr%3D8-345-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Tissot Mens Classic Dream Stainless Steel Dress Watch,330.42,4.4,, Tissot ,,, Round ,, Analog , Tang Buckle , Stainless Steel , 42 millimeters ,," Stainless Steel, Silicone ",, 22 millimeters , Silver , White ,, Stationary , Date , Roman Numeral , Swiss Quartz ,, Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,
5,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTI0NzY0MjMyNTQ4NDQwOjE2OTIwMjk2MTA6c3BfbXRmOjIwMDExMzEzNzIwMTc5ODo6MDo6&url=%2FTissot-Classic-Stainless-T1294101601300-Leather%2Fdp%2FB09XH2JL92%2Fref%3Dsr_1_347_sspa%3Fkeywords%3Dtissot%26qid%3D1692029610%26sr%3D8-347-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Tissot Mens Classic Dream Stainless Steel Dress Watch,320.0,4.6,, Tissot ,,, Round ,, Analog , Tang Buckle , Stainless Steel , 42 millimeters ,, Leather ,, 22 millimeters ,, White ,,, Date , Chronograph , Swiss Quartz ,, Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,
6,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTI0NzY0MjMyNTQ4NDQwOjE2OTIwMjk2MTA6c3BfYXRmX25leHQ6MjAwMTEzMTM3MTk3Nzk4OjowOjo&url=%2FTissot-Carson-Moonphase-Stainless-Leather%2Fdp%2FB09FYG4DHJ%2Fref%3Dsr_1_337_sspa%3Fkeywords%3Dtissot%26qid%3D1692029610%26sr%3D8-337-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"Tissot Mens Carson Premium Gent Moonphase 316L Stainless Steel case Swiss Quartz Watch, Blue, Leather, 20 (T1224231604300)",222.0,3.9,"Rich in colors, it suggests a wide range of possibilities for the hands, dials, straps, and indices. This collection offers a rare combination of simplicity and elegance for classic watches.", Tissot , T1224231604300 , T1224231604300 , Round , Sapphire Crystal , Analog , Standard , Stainless Steel , 40 millimeters , 7.62 millimeters , Leather , Mens Standard , 20 millimeters , Blue , Blue , Stainless Steel , Stationary , Date-Moon Phase , Water Resistant , Swiss Quartz , 165 Feet , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. ,,,,,
7,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTI0NzY0MjMyNTQ4NDQwOjE2OTIwMjk2MTA6c3BfbXRmOjIwMDExMzEzNzIwMTE5ODo6MDo6&url=%2FTissot-T063-610-16-037-00-Tradition-Silver-Tone-Stainless%2Fdp%2FB005AI6E4S%2Fref%3Dsr_1_346_sspa%3Fkeywords%3Dtissot%26qid%3D1692029610%26sr%3D8-346-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Tissot mens Tissot Tradition stainless-steel Dress Watch Brown T0636101603700,325.0,4.3,The Tissot Tradition family gives ultra-modern watchmaking a hint of nostalgia with a vintage-style perfectly balanced with classical details and subtle finishes. These are complemented by design elements such as guilloche decoration on bracelet models and a gently curved case. A classic men's watch that will remain timeless piece on his wrist., Tissot , T0636101603700 , T0636101603700 , Round , Sapphire Crystal , Analog , Buckle , Stainless Steel , 26 millimeters , 5 millimeters , Leather ,, 20 millimeters , Brown , Silver , Stainless Steel , Stationary , Date ," Domed scratch-resistant sapphire crystal, Water Resistant ", Quartz , 99 Feet , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. , 2019 , 1.98 Ounces ,,,
8,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTI0NzY0MjMyNTQ4NDQwOjE2OTIwMjk2MTA6c3BfYXRmX25leHQ6MzAwMDI5NzMxODcyODAyOjowOjo&url=%2FSIBOSUN-Professionals-Students-Military-Resistant%2Fdp%2FB0BR3Y2GS9%2Fref%3Dsr_1_340_sspa%3Fkeywords%3Dtissot%26qid%3D1692029610%26sr%3D8-340-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,SIBOSUN Wrist Watch Nurse Watch Easy to Read Watches for Medical Students Nurse Doctors Quartz Second Hand Luminous Dial Silicone for Men Women's Watch,17.99,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTI0NzY0MjMyNTQ4NDQwOjE2OTIwMjk2MTA6c3BfbXRmOjIwMDA1NDA0MjEwNjc5ODo6MDo6&url=%2FFossil-ME3110-Townsman-Automatic-Leather%2Fdp%2FB0183NWFB2%2Fref%3Dsr_1_348_sspa%3Fkeywords%3Dtissot%26qid%3D1692029610%26sr%3D8-348-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Fossil Townsman Men's Automatic Watch with Mechanical Movement and Skeleton Dial,117.09,4.6,"Each of our Fossil mens' watches are built to last and embody the bold, creative spirit of their wearers. Through quality craftsmanship, premium features and a keen attention to detail, our watches are made for the everyday-wearer, the adventurer and everyone in between.", Fossil , ME3110 , ME3110 , Round , Mineral , Analog , Buckle , Stainless Steel , 44 millimeters , 14 millimeters , Leather , Men's Standard , 22 millimeters , Brown , Blue , Stainless Steel , Stationary ,, Roman Numeral , Mechanical Automatic , 165 Feet , Manufacturer’s warranty can be requested from customer service. Click here to make a request to customer service. , 2017 , 4.16 Ounces ,,,
